rule,hit_count,hit_upset_rate,hit_xgb_accuracy,miss_count,miss_upset_rate,miss_xgb_accuracy
risk_abs_poisson_diff_075_100,139,0.37410071942446044,0.6258992805755396,613.0,0.26753670473083196,0.7308319738988581
risk_market_confidence_060_065,231,0.36363636363636365,0.6320346320346321,521.0,0.2533589251439539,0.746641074856046
risk_market_margin_030_040,97,0.36082474226804123,0.6494845360824743,655.0,0.27633587786259545,0.7206106870229008
risk_xgb_confidence_lt_060,141,0.3546099290780142,0.6382978723404256,611.0,0.27168576104746317,0.7283142389525368
risk_rule_count == 0,496,0.24596774193548387,0.7540322580645161,,,
risk_rule_count == 1,66,0.4090909090909091,0.5909090909090909,,,
risk_rule_count == 2,77,0.33766233766233766,0.6493506493506493,,,
risk_rule_count == 3,64,0.34375,0.640625,,,
risk_rule_count == 4,49,0.3877551020408163,0.6326530612244898,,,
risk_rule_count >= 2,190,0.3526315789473684,0.6421052631578947,562.0,0.26512455516014233,0.7348754448398577
