segment,pick_type,total_bets,wins,accuracy,total_stake,total_profit,roi,average_odds,max_drawdown
risk_score_0,market_pred,496,374,0.7540322580645161,496.0,0.8799999999999919,0.0017741935483870804,1.3381854838709677,-13.750000000000005
risk_score_0,xgb_pred,496,374,0.7540322580645161,496.0,0.8799999999999919,0.0017741935483870804,1.3381854838709677,-13.750000000000005
risk_score_1,market_pred,66,39,0.5909090909090909,66.0,-6.949999999999998,-0.10530303030303027,1.5196969696969698,-10.079999999999998
risk_score_1,xgb_pred,66,39,0.5909090909090909,66.0,-6.949999999999998,-0.10530303030303027,1.5196969696969698,-10.079999999999998
risk_score_2,market_pred,77,51,0.6623376623376623,77.0,2.7700000000000022,0.035974025974026005,1.5623376623376624,-7.0699999999999985
risk_score_2,xgb_pred,77,50,0.6493506493506493,77.0,1.1700000000000017,0.015194805194805218,1.5935064935064933,-7.0699999999999985
risk_score_3,market_pred,64,42,0.65625,64.0,2.940000000000003,0.04593750000000005,1.5950000000000002,-3.38
risk_score_3,xgb_pred,64,41,0.640625,64.0,1.3400000000000027,0.020937500000000043,1.63765625,-4.919999999999999
risk_score_4,market_pred,49,30,0.6122448979591837,49.0,-0.27999999999999936,-0.005714285714285701,1.6191836734693879,-8.43
risk_score_4,xgb_pred,49,31,0.6326530612244898,49.0,3.7200000000000006,0.07591836734693878,1.6667346938775507,-8.370000000000001
